Data;D1;D2;D3;D4;D5;D6;Arrecadacao_Total;Sena;Rateio_Sena;Quina;Rateio_Quina;Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado
21/09/1997;10;23;41;47;54;60;0;0;0;62;19453.15;4870;247.17;SIM;12401021.68
28/09/1997;15;18;29;36;51;53;0;1;13877826.02;77;15982.73;5889;208.57;NÃƒO;0
05/10/1997;4;15;16;24;42;57;0;0;0;76;9408.43;4756;150.04;SIM;858048.93
12/10/1997;4;6;10;25;34;40;0;0;0;102;7539.68;5546;138.4;SIM;1780905.80
19/10/1997;6;15;30;37;45;47;0;0;0;45;17279.25;4312;179.96;SIM;2713984.86
26/10/1997;6;21;22;34;36;54;0;0;0;48;16752.96;3752;213.9;SIM;3678955.17
02/11/1997;4;5;11;28;32;40;0;0;0;64;12696.60;5195;156.11;SIM;4654053.86
09/11/1997;4;18;29;37;43;45;0;0;0;110;7965.82;6805;128.51;SIM;5705540.99
16/11/1997;13;34;42;44;55;59;0;0;0;36;24246.00;3847;226.45;SIM;6752968.26
23/11/1997;9;21;26;40;52;54;0;1;15764300.87;74;18584.49;4763;288.17;NÃƒO;0
30/11/1997;2;4;10;35;39;60;0;0;0;68;9588.80;3878;167.81;SIM;782445.93
07/12/1997;1;3;5;23;24;51;0;0;0;75;9792.64;5530;132.56;SIM;1663783.45
14/12/1997;2;22;28;31;36;53;0;0;0;61;12369.31;3795;198.44;SIM;2569217.31
21/12/1997;8;18;28;51;52;55;0;0;0;25;31457.49;2086;376.26;SIM;3512942.16
28/12/1997;6;40;45;46;50;60;0;0;0;22;30807.89;2185;309.58;SIM;4326270.55
04/01/1998;4;7;26;40;42;58;0;1;5218562.47;62;11993.17;3984;186.27;NÃƒO;0
11/01/1998;5;11;14;35;53;56;0;1;727932.66;56;10832.33;3441;175.94;NÃƒO;0
18/01/1998;13;14;31;33;35;43;0;0;0;89;6508.88;4972;116.28;SIM;695149.05
25/01/1998;11;24;30;33;46;60;0;0;0;46;14037.92;3015;213.76;SIM;1470041.96
01/02/1998;14;29;30;46;48;51;0;0;0;56;15930.48;3600;247.32;SIM;8585129.47
08/02/1998;1;18;29;31;37;39;0;0;0;52;20589.41;4653;229.64;SIM;9869908.65
15/02/1998;19;20;37;42;44;56;0;1;11336626.88;73;16743.36;6197;196.85;NÃƒO;0
22/02/1998;1;7;9;49;54;57;0;1;696984.24;28;20743.58;2632;220.24;NÃƒO;0
01/03/1998;1;4;13;21;38;52;0;0;0;37;14006.33;2588;199.85;SIM;621880.72
08/03/1998;3;13;31;43;46;49;0;0;0;55;11824.08;4875;133.14;SIM;1402269.88
15/03/1998;5;16;24;35;38;39;9795278.00;0;0;94;7678.27;5390;133.65;SIM;2268378.66
22/03/1998;2;4;16;24;51;52;0;0;0;35;21494.23;3554;211.26;SIM;3171136.01
29/03/1998;21;24;29;34;59;60;0;0;0;35;22511.72;2453;320.57;SIM;4116628.49
04/04/1998;1;13;44;48;49;54;0;0;0;39;21153.30;3881;212.15;SIM;11523677.38
11/04/1998;18;31;43;52;57;58;0;0;0;35;27771.48;3212;302.01;SIM;12690079.16
18/04/1998;4;22;25;32;33;52;0;0;0;68;18082.94;6109;200.88;SIM;14165647.19
25/04/1998;12;20;34;37;42;43;0;1;15802579.93;137;9957.01;8340;163.25;NÃƒO;0
02/05/1998;7;26;28;34;54;55;0;0;0;38;14269.55;2572;210.4;SIM;650691.40
09/05/1998;6;12;18;37;47;54;0;0;0;71;9626.08;4908;138.99;SIM;1470833.69
16/05/1998;4;6;14;20;24;38;0;0;0;78;9283.10;5091;141.95;SIM;2339731.79
23/05/1998;5;13;32;36;42;51;10384878.00;0;0;64;11956.28;5270;144.91;SIM;3257973.62
30/05/1998;20;25;27;33;42;53;0;0;0;36;22046.87;3822;207.26;SIM;4210398.41
06/06/1998;9;22;25;37;56;57;0;0;0;53;16052.88;4342;195.56;SIM;5231361.36
13/06/1998;1;21;36;38;47;50;0;0;0;21;38921.16;2691;303.13;SIM;13206225.91
20/06/1998;3;16;27;40;45;46;0;0;0;92;13020.97;7073;169.04;SIM;14643740.70
27/06/1998;2;29;41;44;53;55;0;0;0;45;28917.00;4554;285.17;SIM;16205258.33
04/07/1998;11;17;20;39;43;53;0;0;0;83;18210.45;7203;209.43;SIM;18019018.95
11/07/1998;13;14;16;26;32;42;0;0;0;176;12440.56;13159;166.06;SIM;20646465.28
18/07/1998;5;15;34;41;52;57;0;1;24536288.72;188;17242.12;14019;230.76;NÃƒO;0
25/07/1998;25;41;47;53;56;59;0;0;0;46;15425.68;2784;254.38;SIM;851497.47
01/08/1998;6;10;11;28;32;40;0;0;0;83;10052.56;5510;151.13;SIM;1852731.83
08/08/1998;21;29;50;51;54;59;0;0;0;40;23638.47;2613;361.14;SIM;2987378.17
15/08/1998;3;9;18;21;23;43;0;0;0;973;1024.41;11715;84.91;SIM;4183483.50
22/08/1998;1;9;10;32;46;54;0;0;0;67;15634.41;5320;196.51;SIM;5440490.00
29/08/1998;13;29;38;42;49;53;0;0;0;155;11796.24;11403;160.03;SIM;18814958.31
05/09/1998;4;9;17;27;30;44;0;0;0;361;6811.67;21683;113.19;SIM;21765774.49
12/09/1998;7;9;35;41;44;50;0;0;0;143;20846.64;12179;244.29;SIM;25343057.89
19/09/1998;5;6;19;34;39;57;0;1;30533241.12;431;10035.16;29264;147.51;NÃƒO;0
26/09/1998;4;25;32;36;52;60;0;0;0;82;10253.38;4575;183.42;SIM;1008932.39
03/10/1998;21;22;35;40;53;59;0;0;0;40;24573.18;3604;272.19;SIM;2188444.72
10/10/1998;1;17;25;38;45;59;0;0;0;126;8435.36;7403;143.29;SIM;3463871.17
17/10/1998;15;16;19;22;26;49;0;0;0;88;12675.49;6701;166.13;SIM;4802402.93
24/10/1998;5;14;27;37;40;41;0;0;0;86;14074.36;6953;173.74;SIM;6254876.80
31/10/1998;3;13;26;27;41;42;0;2;3902486.14;179;7216.46;9401;137.14;NÃƒO;0
07/11/1998;7;31;41;44;46;55;0;0;0;45;36581.33;4945;332.24;SIM;16453628.31
14/11/1998;10;13;22;41;42;58;0;0;0;119;20106.10;10533;226.7;SIM;19324778.90
21/11/1998;8;15;19;20;54;59;0;0;0;162;18143.56;13991;209.66;SIM;22851887.24
28/11/1998;6;18;20;40;50;53;0;0;0;144;24792.99;10994;324.1;SIM;27136115.88
05/12/1998;8;32;36;44;45;55;0;1;33597755.21;257;20952.14;23952;224.38;NÃƒO;0
12/12/1998;15;16;31;41;43;51;0;0;0;71;15061.27;3389;314.91;SIM;1283220.59
19/12/1998;25;32;34;42;51;60;0;0;0;51;23923.45;4079;298.52;SIM;2747335.81
24/12/1998;6;16;23;24;28;38;0;1;3805750.38;75;11760.17;5418;162.48;NÃƒO;0
31/12/1998;32;35;41;55;58;59;0;0;0;15;53660.04;2322;345.95;SIM;965880.61
09/01/1999;7;11;20;28;45;48;0;0;0;106;9795.13;6290;164.74;SIM;2211820.94
16/01/1999;12;44;50;52;54;55;0;0;0;56;36378.71;5540;367;SIM;21414530.14
23/01/1999;3;16;20;43;52;56;0;1;24091811.02;152;14678.07;9869;225.62;NÃƒO;0
30/01/1999;5;12;15;29;51;58;0;0;0;75;11562.39;5041;172.03;SIM;1040614.80
06/02/1999;2;30;31;42;45;47;0;0;0;47;22846.45;4218;254.57;SIM;2329154.62
13/02/1999;8;10;24;33;45;48;0;0;0;144;7888.29;9252;122.78;SIM;3692251.60
20/02/1999;12;30;32;35;43;44;0;1;4988808.21;67;16126.32;4974;217.22;NÃƒO;0
27/02/1999;17;23;42;49;52;55;0;0;0;74;11018.10;4455;183.02;SIM;978407.41
06/03/1999;4;13;17;21;41;44;0;1;2140030.92;134;7224.03;8894;108.84;NÃƒO;0
13/03/1999;4;14;17;43;51;58;0;0;0;31;25856.53;3630;220.81;SIM;961863.12
20/03/1999;9;11;16;35;50;58;0;1;2038170.67;57;15735.49;4124;217.49;NÃƒO;0
27/03/1999;2;13;42;52;54;58;0;0;0;74;19431.89;6132;234.5;SIM;11251511.63
03/04/1999;6;25;30;37;39;41;0;0;0;95;14430.61;6865;199.69;SIM;12896601.04
10/04/1999;21;23;33;38;48;51;0;0;0;92;20941.30;7244;265.96;SIM;15208520.83
17/04/1999;8;27;36;41;53;56;0;2;8975833.36;146;15657.23;10793;211.8;NÃƒO;0
24/04/1999;4;10;14;19;28;44;0;0;0;111;7595.63;8386;100.54;SIM;1011737.90
01/05/1999;10;19;23;35;39;56;0;2;1044444.54;75;11968.35;5378;166.91;NÃƒO;0
08/05/1999;12;13;22;57;59;60;0;0;0;47;17424.67;3371;242.95;SIM;982751.54
15/05/1999;1;11;28;33;38;48;0;1;2100980.21;82;11364.11;4997;186.48;NÃƒO;0
22/05/1999;2;9;31;35;45;50;0;0;0;48;15743.70;3528;214.2;SIM;906836.93
29/05/1999;1;13;21;37;51;52;0;0;0;65;13679.08;4489;198.07;SIM;1973804.91
05/06/1999;7;41;46;51;55;58;0;0;0;50;32383.95;6257;258.78;SIM;13643095.71
12/06/1999;4;27;40;43;46;54;0;1;16052410.83;134;14983.30;10378;193.46;NÃƒO;0
19/06/1999;10;14;26;35;36;49;0;0;0;64;13460.12;4592;186.89;SIM;1033736.70
26/06/1999;17;28;29;42;49;50;0;1;2148316.42;40;23220.41;3610;256.32;NÃƒO;0
03/07/1999;11;22;23;36;52;59;0;0;0;44;17846.85;3217;243.18;SIM;942313.58
10/07/1999;1;10;13;20;42;50;0;0;0;114;8094.08;7058;130.25;SIM;2049582.99
17/07/1999;1;3;4;28;45;53;0;0;0;62;16696.39;5405;190.8;SIM;3291794.61
24/07/1999;22;35;38;39;41;59;0;0;0;52;21716.29;4408;255.21;SIM;4646890.81
31/07/1999;5;15;19;26;27;33;0;1;6129539.43;198;6240.11;13086;94.07;NÃƒO;0
07/08/1999;5;6;23;26;27;53;0;0;0;78;10281.59;5646;141.51;SIM;962357.04
14/08/1999;6;23;29;39;51;60;0;0;0;111;15907.98;6978;252.09;SIM;12143009.93
21/08/1999;1;27;33;35;51;55;0;0;0;182;11127.07;11797;171.02;SIM;14573162.71
28/08/1999;3;5;10;28;46;60;0;0;0;239;9954.78;17413;136.13;SIM;17428194.22
04/09/1999;2;7;11;16;40;44;0;0;0;306;9468.79;20677;139.6;SIM;20905131.40
11/09/1999;9;16;21;34;41;60;0;0;0;217;14699.97;15462;205.53;SIM;24733003.15
18/09/1999;17;22;43;46;55;59;0;0;0;366;12275.86;24849;180.13;SIM;30124561.09
25/09/1999;14;23;24;25;26;51;0;0;0;352;17072.24;31164;192.1;SIM;37335874.86
02/10/1999;6;36;41;44;48;58;0;0;0;397;23058.35;39365;231.66;SIM;48320873.60
10/10/1999;17;27;34;42;43;46;0;1;64905517.65;1200;11517.11;90235;152.58;NÃƒO;0
16/10/1999;4;15;31;38;41;53;0;0;0;61;23476.18;5485;260.09;SIM;1718456.25
24/10/1999;5;10;21;32;40;42;0;0;0;304;14923.96;21481;210.41;SIM;44895988.05
31/10/1999;1;3;5;23;41;58;0;1;50968412.58;383;13212.41;30477;165.41;NÃƒO;0
06/11/1999;1;26;28;41;54;60;0;0;0;53;23005.08;4403;275.87;SIM;1463122.78
13/11/1999;4;11;12;19;43;49;0;0;0;190;7199.87;11415;119.39;SIM;3104692.58
20/11/1999;25;28;32;33;42;43;0;0;0;106;12862.40;7456;182.18;SIM;4740789.92
27/11/1999;3;9;17;32;37;44;0;1;6370250.64;339;4005.56;13819;97.89;NÃƒO;0
04/12/1999;7;9;14;17;24;32;0;0;0;182;5309.16;10493;91.75;SIM;1159520.95
11/12/1999;5;12;15;19;29;52;0;0;0;128;8259.15;8720;120.78;SIM;2428125.98
18/12/1999;1;8;18;23;35;40;0;0;0;125;8881.02;7134;155.02;SIM;3760278.08
24/12/1999;10;16;37;50;52;57;0;1;4915593.20;34;28316.55;3143;305.16;NÃƒO;0
31/12/1999;12;15;19;34;44;51;0;2;8829389.20;186;11008.48;13027;156.59;NÃƒO;0
08/01/2000;5;20;22;30;35;55;0;1;1038373.94;77;11237.81;4502;191.48;NÃƒO;0
15/01/2000;12;24;44;45;49;53;0;0;0;65;12412.65;4279;187.85;SIM;968186.82
22/01/2000;11;19;29;44;47;55;0;0;0;63;14099.33;5417;163.36;SIM;2034096.14
29/01/2000;29;31;39;41;51;58;0;0;0;32;30221.85;2400;401.43;SIM;3194615.19
05/02/2000;26;32;40;43;46;54;0;1;4490339.49;71;15208.03;6014;178.86;NÃƒO;0
12/02/2000;18;20;26;34;51;56;0;0;0;43;17769.34;3478;218.86;SIM;916897.74
19/02/2000;3;7;19;24;53;55;0;0;0;90;9663.76;6510;133.1;SIM;1960583.04
26/02/2000;15;23;24;25;47;57;0;0;0;72;12679.18;5232;173.83;SIM;3056064.34
04/03/2000;13;21;26;32;41;52;0;0;0;81;12349.82;5496;181.32;SIM;4256466.94
11/03/2000;20;32;37;38;48;58;0;0;0;29;46721.17;3921;344.24;SIM;14043878.83
18/03/2000;10;20;33;40;45;50;0;0;0;164;10880.27;16680;106.58;SIM;16185115.03
25/03/2000;6;15;29;45;57;59;0;0;0;147;13318.79;9880;197.42;SIM;18534548.53
01/04/2000;3;9;23;30;32;35;0;3;7089194.54;312;7299.77;18348;123.66;NÃƒO;0
08/04/2000;6;12;30;31;35;50;0;0;0;54;15578.04;3769;222.35;SIM;1009456.63
15/04/2000;7;28;37;46;53;58;0;0;0;78;12078.40;4942;189.92;SIM;2139994.41
22/04/2000;14;18;30;35;42;59;0;4;801057.55;91;9745.75;5049;175;NÃƒO;0
29/04/2000;3;27;32;45;49;51;0;0;0;159;4599.62;5820;125.19;SIM;877607.32
06/05/2000;12;17;40;42;47;54;0;1;1878255.09;95;8777.61;4679;177.55;NÃƒO;0
13/05/2000;23;26;28;36;42;49;0;0;0;80;9221.78;5139;143.02;SIM;885291.29
20/05/2000;13;14;36;53;55;60;0;1;12636751.12;125;12488.05;8067;192.78;NÃƒO;0
27/05/2000;13;27;43;50;54;58;0;0;0;49;14565.66;3793;187.45;SIM;856460.89
03/06/2000;5;19;30;48;52;55;0;0;0;55;15243.16;4462;187.18;SIM;1862509.60
10/06/2000;2;6;22;24;28;58;0;0;0;163;5838.31;7780;121.86;SIM;3004483.21
17/06/2000;7;16;18;20;21;44;0;0;0;119;8706.35;7185;143.77;SIM;4247750.04
24/06/2000;2;4;16;21;37;58;0;0;0;83;12542.39;5517;188.14;SIM;5496971.76
01/07/2000;1;2;38;49;50;59;0;1;6916920.13;78;15170.39;4123;286.14;NÃƒO;0
08/07/2000;11;26;27;37;42;48;0;0;0;51;14471.45;3648;201.72;SIM;885652.57
15/07/2000;13;16;40;43;45;59;0;0;0;64;13240.28;4497;187.87;SIM;1902506.15
22/07/2000;11;13;21;33;39;45;0;1;2992781.57;121;7508.79;7685;117.88;NÃƒO;0
29/07/2000;8;40;41;44;53;56;0;0;0;94;15000.56;5820;241.56;SIM;9547336.00
05/08/2000;16;27;36;42;44;59;0;0;0;125;12896.11;9458;169.93;SIM;11481752.44
12/08/2000;19;22;29;37;41;59;0;0;0;124;14598.36;8807;204.93;SIM;13653988.77
19/08/2000;3;7;24;32;36;45;0;5;3196547.03;512;3790.28;21452;90.2;NÃƒO;0
26/08/2000;15;25;41;42;45;54;0;0;0;39;19369.91;3505;214.89;SIM;906511.63
02/09/2000;2;22;29;31;41;55;0;0;0;52;16604.49;3086;278.96;SIM;1942631.63
09/09/2000;10;25;50;52;57;60;0;0;0;76;12197.95;4703;196.53;SIM;3055084.91
16/09/2000;7;31;36;45;56;57;0;0;0;54;19896.75;4145;258.44;SIM;4344394.18
23/09/2000;9;13;15;37;41;42;0;4;1429476.11;188;6088.25;10483;108.86;NÃƒO;0
30/09/2000;6;21;33;44;46;47;0;1;866183.32;30;24060.65;3826;188.1;NÃƒO;0
07/10/2000;25;28;38;41;57;59;0;0;0;103;15200.74;6244;250;SIM;11686511.34
14/10/2000;11;31;35;40;56;57;0;0;0;74;22811.94;5485;306.85;SIM;13712211.55
21/10/2000;4;7;21;22;28;56;0;0;0;203;9933.73;13497;148.97;SIM;16132069.11
28/10/2000;11;16;20;23;32;47;0;0;0;180;12019.97;13705;157.4;SIM;18728383.13
04/11/2000;19;24;33;47;50;60;0;0;0;204;13698.02;14735;189.08;SIM;22081659.67
11/11/2000;8;27;44;51;53;60;0;3;9153484.88;283;15838.62;21593;206.96;NÃƒO;0
18/11/2000;2;16;32;37;43;57;0;0;0;93;9292.06;5429;158.71;SIM;1036993.80
25/11/2000;3;10;23;30;34;46;0;0;0;80;12080.19;6425;149.96;SIM;2196692.29
02/12/2000;16;32;34;35;41;56;0;0;0;50;21550.72;4862;220.96;SIM;3489735.08
09/12/2000;21;36;40;49;54;55;0;0;0;60;19680.20;4247;277.21;SIM;4906709.76
16/12/2000;7;25;41;42;43;55;0;0;0;203;10867.31;15545;141.5;SIM;22593628.59
23/12/2000;15;23;30;34;49;55;0;0;0;180;15473.98;12813;216.73;SIM;25936007.67
30/12/2000;4;17;26;32;51;54;0;2;15107002.24;354;10070.62;22122;160.67;NÃƒO;0
06/01/2001;11;12;24;37;44;56;0;0;0;126;6985.77;7260;120.88;SIM;1056248.75
13/01/2001;1;4;21;22;30;56;0;0;0;66;16400.47;6381;169.14;SIM;2355166.17
20/01/2001;16;19;20;32;44;55;0;0;0;80;14363.63;6812;168.19;SIM;3734074.48
27/01/2001;2;21;26;32;34;52;0;0;0;91;13336.96;6319;191.49;SIM;5190470.09
03/02/2001;1;4;5;19;28;34;0;1;6808483.96;175;7704.83;11706;114.84;NÃƒO;0
10/02/2001;7;12;50;54;55;60;0;0;0;53;15960.68;3615;233.3;SIM;1015099.19
17/02/2001;13;15;20;33;43;58;0;0;0;65;15136.22;5581;175.77;SIM;2195724.03
24/02/2001;4;6;33;43;59;60;0;0;0;120;16065.94;8956;214.63;SIM;17357124.85
03/03/2001;5;16;20;30;54;56;0;0;0;91;22350.19;7281;278.51;SIM;19797765.32
10/03/2001;11;20;48;53;58;60;0;0;0;108;24643.78;8838;300.24;SIM;22991600.18
17/03/2001;8;9;26;43;50;53;0;0;0;136;24937.18;12752;265.17;SIM;27061348.12
24/03/2001;1;5;13;25;31;33;0;2;16055880.73;979;4298.96;50364;83.25;NÃƒO;0
31/03/2001;7;16;34;41;50;53;0;0;0;64;14676.59;3855;242.74;SIM;1127161.81
07/04/2001;2;23;38;46;48;54;0;0;0;89;12318.14;6687;163.33;SIM;2442739.49
14/04/2001;1;8;45;46;55;58;0;0;0;46;23142.59;4076;260.19;SIM;3720210.04
21/04/2001;5;6;10;21;33;47;0;0;0;111;10348.29;10133;112.93;SIM;5098601.74
28/04/2001;17;18;19;25;49;52;0;0;0;110;12115.70;8717;152.31;SIM;6697873.66
05/05/2001;5;9;27;35;40;45;0;1;25186260.21;228;9665.14;16867;130.16;NÃƒO;0
12/05/2001;14;24;26;29;31;54;0;0;0;43;19939.25;4385;194.79;SIM;1028865.23
19/05/2001;9;10;24;36;56;58;0;0;0;70;14013.37;5491;177.97;SIM;2205988.15
26/05/2001;10;17;23;27;47;52;0;1;3456480.23;92;11326.92;7241;143.38;NÃƒO;0
02/06/2001;11;13;18;26;39;47;0;0;0;142;5488.22;7420;104.64;SIM;935192.94
09/06/2001;16;19;30;37;38;48;0;0;0;41;22897.52;3737;250.27;SIM;2061751.10
16/06/2001;22;39;45;53;57;59;0;0;0;79;12486.98;5172;190.01;SIM;3245516.79
23/06/2001;4;26;38;40;52;56;0;0;0;95;11578.72;5404;202.78;SIM;4565490.29
30/06/2001;10;15;18;22;31;55;0;0;0;99;11868.09;6996;167.32;SIM;5975419.10
07/07/2001;4;23;31;47;58;59;0;0;0;58;23664.88;6137;222.81;SIM;7622494.24
